epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,1124.14,0.77384,2.15328,0.45369,0.92924,0.96541,0.94506,0.97227,0.73576,0.91465,0.89931,0.90907,0.4563,0.83481,2.34029,0.45472,0.86104,0.000454992,0.000454992,0.000454992
41,1151,0.76861,2.11043,0.45866,0.93125,0.94539,0.95515,0.96054,0.72276,0.90751,0.91728,0.91965,0.48142,0.82648,2.37147,0.46355,0.86169,0.000452732,0.000452732,0.000452732
42,1177.69,0.74482,2.08319,0.45454,0.9237,0.94865,0.95097,0.97217,0.73729,0.9042,0.88889,0.90184,0.45649,0.81323,2.37671,0.44657,0.85978,0.000450422,0.000450422,0.000450422
43,1203.9,0.7547,2.10057,0.45571,0.92264,0.95811,0.95379,0.97507,0.73479,0.91673,0.90736,0.92212,0.45864,0.82798,2.41287,0.44606,0.86241,0.000448063,0.000448063,0.000448063
44,1230.12,0.75403,2.09849,0.45165,0.92604,0.96166,0.96231,0.97609,0.74178,0.90309,0.90867,0.91175,0.46639,0.79695,2.31997,0.42252,0.8512,0.000445657,0.000445657,0.000445657
45,1260.42,0.74724,2.10155,0.43734,0.92261,0.92572,0.9371,0.96486,0.72796,0.87914,0.88843,0.90015,0.44568,0.82799,2.40875,0.47414,0.86165,0.000443202,0.000443202,0.000443202
46,1287.22,0.769,2.12487,0.45089,0.91949,0.97034,0.97078,0.97854,0.73964,0.93621,0.93457,0.93107,0.47921,0.8115,2.26429,0.43232,0.84897,0.0004407,0.0004407,0.0004407
47,1317.84,0.75851,2.05617,0.43978,0.924,0.97034,0.96997,0.98227,0.74653,0.9235,0.92215,0.92491,0.46938,0.81362,2.30346,0.43118,0.85215,0.000438152,0.000438152,0.000438152
48,1343.67,0.73899,2.05618,0.43957,0.91854,0.93208,0.94735,0.97359,0.74452,0.89064,0.89281,0.91454,0.45483,0.79968,2.36838,0.45231,0.85263,0.000435559,0.000435559,0.000435559
49,1368.98,0.74598,2.07221,0.44947,0.92205,0.97002,0.97253,0.97925,0.74641,0.91929,0.92671,0.92185,0.47058,0.79825,2.33267,0.43632,0.84939,0.00043292,0.00043292,0.00043292
50,1394.75,0.74358,2.07551,0.43921,0.91819,0.95539,0.94241,0.969,0.72703,0.90175,0.8899,0.90275,0.45279,0.84358,2.40585,0.46216,0.86223,0.000430236,0.000430236,0.000430236
51,1420.82,0.74067,2.06168,0.4385,0.92356,0.9565,0.96446,0.97827,0.74691,0.89344,0.90322,0.8978,0.44617,0.79229,2.33929,0.43232,0.8481,0.000427509,0.000427509,0.000427509
52,1446.3,0.74893,2.11258,0.43599,0.9172,0.92661,0.94766,0.97436,0.73657,0.89556,0.88527,0.91225,0.46595,0.80909,2.34232,0.45105,0.85425,0.000424738,0.000424738,0.000424738
53,1472.2,0.73321,2.05343,0.42835,0.91695,0.96707,0.96665,0.9796,0.7494,0.91598,0.91751,0.91463,0.46348,0.7909,2.29156,0.42644,0.84553,0.000421925,0.000421925,0.000421925
54,1498.48,0.73646,2.02657,0.42459,0.91308,0.96329,0.95627,0.97982,0.7542,0.91712,0.90702,0.91607,0.4766,0.77655,2.29995,0.42835,0.84338,0.000419071,0.000419071,0.000419071
55,1528.16,0.73945,2.02968,0.42258,0.91817,0.96365,0.97182,0.97898,0.7504,0.91903,0.92584,0.92502,0.48252,0.7873,2.27317,0.41912,0.84651,0.000416175,0.000416175,0.000416175
56,1559.06,0.73429,2.06065,0.42716,0.91751,0.97003,0.96622,0.98023,0.74492,0.92057,0.91689,0.91546,0.4676,0.79856,2.3231,0.43082,0.84962,0.000413238,0.000413238,0.000413238
57,1585.23,0.73569,2.03967,0.42309,0.91542,0.97001,0.97299,0.98242,0.75812,0.92364,0.92506,0.92504,0.47675,0.79334,2.28016,0.40816,0.8497,0.000410262,0.000410262,0.000410262
58,1615.29,0.73561,2.03396,0.42646,0.91687,0.96338,0.95475,0.97499,0.7511,0.92539,0.91672,0.92498,0.48533,0.80184,2.29214,0.42753,0.85503,0.000407248,0.000407248,0.000407248
59,1645.96,0.74231,2.01848,0.42687,0.91943,0.96107,0.97551,0.97978,0.7459,0.9183,0.91989,0.91952,0.486,0.80007,2.26046,0.42488,0.84625,0.000404194,0.000404194,0.000404194
60,1672.3,0.72155,1.97993,0.42702,0.9112,0.97927,0.9756,0.98407,0.75795,0.93286,0.9287,0.92661,0.48513,0.76942,2.26109,0.40689,0.8411,0.000401104,0.000401104,0.000401104
61,1702.72,0.72494,2.02329,0.42624,0.91328,0.97176,0.96872,0.97786,0.74853,0.92078,0.91564,0.91159,0.4689,0.7965,2.28487,0.41144,0.84863,0.000397977,0.000397977,0.000397977
62,1729.63,0.72755,1.98305,0.41392,0.91177,0.96671,0.97297,0.97952,0.75247,0.91916,0.92684,0.9196,0.477,0.78393,2.31131,0.41089,0.84659,0.000394814,0.000394814,0.000394814
63,1757.11,0.72608,2.01135,0.42012,0.91534,0.92929,0.95147,0.97001,0.74203,0.87927,0.90238,0.90606,0.46978,0.80443,2.32501,0.45461,0.86062,0.000391616,0.000391616,0.000391616
64,1784.66,0.73073,1.98304,0.42803,0.91769,0.96622,0.96745,0.97545,0.74702,0.91605,0.9174,0.91112,0.47029,0.80137,2.33578,0.41208,0.85134,0.000388383,0.000388383,0.000388383
65,1811.08,0.72158,2.02251,0.41662,0.90848,0.95713,0.9713,0.97755,0.74282,0.91279,0.92179,0.91419,0.47589,0.79757,2.24959,0.41451,0.85275,0.000385117,0.000385117,0.000385117
66,1837.46,0.73168,2.00016,0.42118,0.91378,0.95508,0.95524,0.97938,0.75435,0.91049,0.90761,0.92207,0.4832,0.78716,2.27093,0.42467,0.85226,0.000381818,0.000381818,0.000381818
67,1863.58,0.72287,1.96453,0.42133,0.91382,0.96713,0.97093,0.98105,0.7562,0.9233,0.92447,0.92358,0.48298,0.78423,2.25548,0.40251,0.84952,0.000378488,0.000378488,0.000378488
68,1890.79,0.711,1.96975,0.40255,0.91149,0.9613,0.96933,0.98167,0.75927,0.92532,0.92584,0.92519,0.49007,0.77462,2.2182,0.40505,0.84329,0.000375126,0.000375126,0.000375126
69,1921.5,0.70695,1.93952,0.413,0.90513,0.97395,0.9716,0.98341,0.76342,0.92652,0.92402,0.92192,0.49293,0.76792,2.26024,0.3961,0.83941,0.000371734,0.000371734,0.000371734
70,1952.23,0.71122,1.94154,0.4023,0.90336,0.9756,0.97734,0.98233,0.75885,0.92754,0.92911,0.92419,0.49506,0.77909,2.236,0.39198,0.84227,0.000368313,0.000368313,0.000368313
71,1978.1,0.7253,1.98748,0.41753,0.9144,0.9746,0.97244,0.98421,0.75884,0.92203,0.91999,0.91673,0.49329,0.76754,2.19756,0.39838,0.84276,0.000364863,0.000364863,0.000364863
72,2004.45,0.7089,1.93182,0.40507,0.90828,0.94586,0.97123,0.98118,0.75529,0.89951,0.9183,0.91594,0.47334,0.77374,2.28313,0.41095,0.84074,0.000361385,0.000361385,0.000361385
73,2030.93,0.7053,1.92872,0.40443,0.90653,0.95188,0.96823,0.98417,0.76337,0.9096,0.92499,0.92993,0.49086,0.77658,2.25025,0.41199,0.8413,0.00035788,0.00035788,0.00035788
74,2057.55,0.70774,1.96814,0.40867,0.90928,0.93616,0.97289,0.97549,0.7555,0.89964,0.91386,0.91169,0.47333,0.77551,2.28057,0.41031,0.84596,0.00035435,0.00035435,0.00035435
75,2083.93,0.71555,1.96218,0.40841,0.90576,0.97201,0.97837,0.9821,0.75156,0.92342,0.92997,0.91949,0.47616,0.79597,2.25716,0.41041,0.84872,0.000350794,0.000350794,0.000350794
76,2110.3,0.71656,1.95405,0.39961,0.90782,0.97203,0.97143,0.98125,0.7616,0.92215,0.92233,0.91845,0.48031,0.77709,2.24721,0.40138,0.84609,0.000347214,0.000347214,0.000347214
77,2137.37,0.70238,1.90481,0.39514,0.90863,0.96121,0.96486,0.98295,0.76696,0.90691,0.91146,0.91464,0.47834,0.76056,2.28061,0.40341,0.84135,0.000343611,0.000343611,0.000343611
78,2164.29,0.70245,1.896,0.39466,0.90461,0.96897,0.97611,0.98397,0.76401,0.92205,0.92382,0.9218,0.47746,0.7752,2.24164,0.39752,0.84121,0.000339985,0.000339985,0.000339985
79,2191.57,0.71153,1.94395,0.40776,0.90429,0.94152,0.95503,0.97691,0.74065,0.89112,0.89922,0.91382,0.46477,0.83389,2.36404,0.42995,0.85957,0.000336338,0.000336338,0.000336338
80,2218.01,0.71875,1.92559,0.41236,0.9059,0.96213,0.96562,0.98369,0.76192,0.92842,0.92058,0.93189,0.49914,0.77722,2.26265,0.40273,0.8406,0.00033267,0.00033267,0.00033267
81,2248.16,0.69697,1.87866,0.39041,0.90277,0.97421,0.98087,0.985,0.76956,0.93049,0.92765,0.92829,0.50246,0.7631,2.18931,0.38971,0.84495,0.000328982,0.000328982,0.000328982
82,2279.12,0.69981,1.88662,0.38828,0.90427,0.96185,0.96331,0.97521,0.75074,0.9136,0.91356,0.91758,0.4899,0.7834,2.29,0.39474,0.84663,0.000325275,0.000325275,0.000325275
83,2306.12,0.69422,1.90829,0.39178,0.90721,0.97651,0.97213,0.98466,0.77264,0.93591,0.93219,0.93194,0.5005,0.75751,2.19219,0.3803,0.83719,0.00032155,0.00032155,0.00032155
84,2336.38,0.7027,1.8887,0.39211,0.90652,0.97267,0.97773,0.98529,0.77156,0.92711,0.92975,0.92901,0.50909,0.76349,2.18457,0.38871,0.84489,0.000317809,0.000317809,0.000317809
85,2366.4,0.70352,1.90412,0.40217,0.90846,0.9776,0.97791,0.98484,0.77083,0.93391,0.92774,0.92738,0.51163,0.75554,2.18806,0.38595,0.84558,0.000314051,0.000314051,0.000314051
