epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,377.591,1.11252,0.66083,0.98807,0.87744,0.92122,0.94094,0.52769,1.58236,0.77037,1.07582,0.000519625,0.000519625,0.000519625
78,381.292,1.09042,0.67987,0.97469,0.87744,0.92122,0.94094,0.52769,1.58236,0.77037,1.07582,0.000515502,0.000515502,0.000515502
79,385.033,1.06941,0.68565,0.9639,0.88644,0.93592,0.94585,0.5389,1.58479,0.77028,1.08439,0.000511379,0.000511379,0.000511379
80,392.032,1.04787,0.67964,0.96472,0.90577,0.9372,0.94787,0.54019,1.58959,0.76534,1.10284,0.000507255,0.000507255,0.000507255
81,397.239,1.05679,0.65067,0.98294,0.87828,0.92217,0.92373,0.53708,1.59012,0.76814,1.10827,0.000503132,0.000503132,0.000503132
82,401.08,1.08077,0.68633,0.96721,0.89416,0.90547,0.92416,0.53642,1.59047,0.77097,1.09737,0.000499009,0.000499009,0.000499009
83,404.793,1.07447,0.64164,0.97669,0.89537,0.8808,0.92602,0.53319,1.58846,0.77838,1.09596,0.000494885,0.000494885,0.000494885
84,408.878,1.07118,0.66149,0.96407,0.90627,0.8624,0.92527,0.532,1.60846,0.81263,1.11054,0.000490762,0.000490762,0.000490762
85,412.779,1.07076,0.64472,0.98123,0.90071,0.87809,0.91657,0.52898,1.6155,0.80835,1.10947,0.000486639,0.000486639,0.000486639
86,416.43,1.07975,0.69265,0.97908,0.90071,0.87809,0.91657,0.52898,1.6155,0.80835,1.10947,0.000482515,0.000482515,0.000482515
87,420.09,1.0468,0.62576,0.95696,0.88968,0.88202,0.92546,0.53851,1.57488,0.80374,1.08421,0.000478392,0.000478392,0.000478392
88,423.837,1.06442,0.66073,0.97334,0.91284,0.87521,0.92751,0.53064,1.57139,0.82211,1.0807,0.000474269,0.000474269,0.000474269
89,427.748,1.01693,0.61386,0.94873,0.88858,0.86856,0.91309,0.51273,1.58973,0.83038,1.09645,0.000470145,0.000470145,0.000470145
90,431.557,1.03469,0.65625,0.95918,0.90141,0.82617,0.89981,0.50882,1.59977,0.83989,1.09999,0.000466022,0.000466022,0.000466022
91,435.264,1.01539,0.61145,0.93682,0.90403,0.8177,0.89572,0.50388,1.60685,0.84474,1.09745,0.000461898,0.000461898,0.000461898
92,438.942,1.01337,0.61505,0.94428,0.90171,0.81861,0.89758,0.4984,1.63168,0.85872,1.10435,0.000457775,0.000457775,0.000457775
93,442.692,1.01086,0.60081,0.95508,0.89848,0.81258,0.88791,0.49934,1.62541,0.84459,1.11859,0.000453652,0.000453652,0.000453652
94,446.409,1.00928,0.60137,0.9569,0.89848,0.81258,0.88791,0.49934,1.62541,0.84459,1.11859,0.000449528,0.000449528,0.000449528
95,450.096,1.00964,0.59645,0.94776,0.92319,0.81088,0.90269,0.50607,1.59907,0.83263,1.11542,0.000445405,0.000445405,0.000445405
96,453.813,1.04516,0.63619,0.99334,0.92734,0.79539,0.91722,0.51557,1.58493,0.83196,1.1035,0.000441282,0.000441282,0.000441282
97,458.231,1.0371,0.60724,0.96456,0.93447,0.79645,0.91411,0.51951,1.58286,0.85765,1.10089,0.000437158,0.000437158,0.000437158
98,462.185,1.02041,0.57946,0.96609,0.93287,0.79345,0.90209,0.52022,1.57825,0.86567,1.10304,0.000433035,0.000433035,0.000433035
99,465.976,1.01152,0.60245,0.95507,0.94054,0.82937,0.92486,0.53484,1.54752,0.82419,1.08714,0.000428912,0.000428912,0.000428912
100,469.858,0.96013,0.57596,0.92339,0.94939,0.82105,0.92301,0.5286,1.53423,0.80147,1.08057,0.000424788,0.000424788,0.000424788
