epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,790.123,1.18909,2.42893,0.63333,0.97489,0.84108,0.80851,0.79961,0.43791,0.81052,0.77115,0.75531,0.28142,1.82484,4.07492,1.01245,1.11823,0.000672189,0.000672189,0.000672189
41,807.758,1.18494,2.44612,0.65016,0.98399,0.85006,0.80394,0.80701,0.4456,0.80533,0.74593,0.73524,0.26985,1.77962,4.26405,0.95765,1.08354,0.000668066,0.000668066,0.000668066
42,825.542,1.19248,2.43311,0.63269,0.98384,0.82601,0.80283,0.79371,0.47377,0.77415,0.7496,0.71227,0.26839,1.64937,4.20548,0.99246,1.07157,0.000663943,0.000663943,0.000663943
43,843.477,1.17836,2.41294,0.63765,0.99167,0.81925,0.80253,0.82917,0.47856,0.75629,0.75125,0.74164,0.27578,1.64751,3.84798,0.96388,1.03129,0.000659819,0.000659819,0.000659819
44,861.315,1.15539,2.43243,0.6283,0.97688,0.87142,0.78439,0.8414,0.48327,0.81351,0.72456,0.76425,0.29846,1.64263,3.83371,0.93325,1.01229,0.000655696,0.000655696,0.000655696
45,879.191,1.16496,2.3676,0.60855,0.98571,0.84076,0.80939,0.84564,0.50146,0.75968,0.76228,0.7474,0.29717,1.58486,3.96448,0.90191,1.01621,0.000651573,0.000651573,0.000651573
46,896.884,1.13373,2.37705,0.59967,0.96038,0.83431,0.79684,0.85203,0.52703,0.78774,0.7294,0.76266,0.30569,1.54697,3.96566,0.90877,1.00738,0.000647449,0.000647449,0.000647449
47,914.581,1.14986,2.28094,0.6311,0.97203,0.79529,0.81923,0.84861,0.51503,0.74336,0.7257,0.73825,0.29579,1.58684,4.18893,0.93436,1.02002,0.000643326,0.000643326,0.000643326
48,932.382,1.18152,2.35724,0.63883,0.98486,0.85416,0.84181,0.85381,0.51423,0.7977,0.78603,0.7614,0.29135,1.52021,4.07011,0.86295,1.00137,0.000639203,0.000639203,0.000639203
49,950.02,1.14231,2.35796,0.61433,0.96897,0.84063,0.82341,0.82718,0.49572,0.80591,0.78702,0.76677,0.31528,1.56851,4.20164,0.86222,1.02664,0.000635079,0.000635079,0.000635079
50,968.181,1.11273,2.33468,0.59475,0.96584,0.85966,0.83824,0.84571,0.51065,0.79549,0.76181,0.7437,0.3111,1.56413,3.98753,0.87936,1.0034,0.000630956,0.000630956,0.000630956
51,993.237,1.1312,2.34988,0.61229,0.95633,0.83519,0.81725,0.83414,0.48447,0.78894,0.77193,0.75242,0.30997,1.6122,4.28502,0.85415,1.04804,0.000626832,0.000626832,0.000626832
52,1018.74,1.12444,2.29725,0.58443,0.96664,0.85605,0.84187,0.83193,0.49686,0.81084,0.79654,0.76574,0.30502,1.58615,4.1611,0.85342,1.03353,0.000622709,0.000622709,0.000622709
53,1043.96,1.13448,2.32967,0.6108,0.96397,0.87351,0.86345,0.87346,0.52917,0.80721,0.80143,0.77699,0.3186,1.58958,4.07447,0.82461,1.05224,0.000618586,0.000618586,0.000618586
54,1069.18,1.13736,2.25311,0.59596,0.96494,0.85727,0.84379,0.84605,0.50402,0.79836,0.7862,0.76405,0.30604,1.66022,4.22816,0.87089,1.05402,0.000614462,0.000614462,0.000614462
55,1094.58,1.1484,2.37841,0.61518,0.97521,0.82061,0.84755,0.84361,0.50308,0.76254,0.77711,0.75908,0.30671,1.58361,4.44619,0.90897,1.02097,0.000610339,0.000610339,0.000610339
56,1120.06,1.12928,2.35581,0.59784,0.95855,0.80488,0.80429,0.80575,0.49545,0.73601,0.72395,0.70246,0.28468,1.56452,4.67125,0.93653,0.99681,0.000606216,0.000606216,0.000606216
57,1145.13,1.14779,2.30685,0.60702,0.97698,0.85085,0.80036,0.81835,0.49552,0.77696,0.72793,0.70807,0.28809,1.60681,4.44705,0.93207,1.025,0.000602092,0.000602092,0.000602092
58,1162.13,1.10442,2.31435,0.57518,0.97091,0.85345,0.79162,0.84718,0.49506,0.76404,0.69267,0.69899,0.29471,1.63111,4.30569,0.96693,1.03086,0.000597969,0.000597969,0.000597969
