epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,18181.5,1.12851,0.91497,1.12765,0.75507,0.89941,0.86554,0.58584,1.11733,0.83124,1.10327,0.00106463,0.00106463,0.00106463
75,18379.5,1.16137,0.94529,1.11337,0.77704,0.8488,0.87325,0.58247,1.17272,0.81849,1.17571,0.00105638,0.00105638,0.00105638
76,18629.5,1.11183,0.91621,1.10081,0.75369,0.89683,0.87473,0.57947,1.15704,0.77019,1.11332,0.00104813,0.00104813,0.00104813
77,18874.6,1.14102,0.92817,1.13003,0.73695,0.87258,0.84885,0.5745,1.11629,0.81167,1.08823,0.00103987,0.00103987,0.00103987
78,19101.7,1.14844,0.93063,1.12464,0.76086,0.88702,0.90093,0.59374,1.1177,0.76444,1.10819,0.00103162,0.00103162,0.00103162
79,19433.7,1.11961,0.87237,1.1026,0.76019,0.87626,0.86439,0.57759,1.15687,0.80501,1.12024,0.00102337,0.00102337,0.00102337
80,19684.9,1.09025,0.91571,1.10094,0.75499,0.90644,0.87892,0.59462,1.14171,0.79713,1.13621,0.00101512,0.00101512,0.00101512
81,19948.6,1.10114,0.90688,1.07541,0.74135,0.88552,0.88265,0.59924,1.09824,0.79115,1.10927,0.00100687,0.00100687,0.00100687
82,20159.5,1.13751,0.91452,1.111,0.76147,0.88468,0.87743,0.59855,1.11272,0.78683,1.11041,0.000998616,0.000998616,0.000998616
83,20523.1,1.13316,0.91001,1.10873,0.73211,0.86442,0.8486,0.57897,1.11188,0.80131,1.09416,0.000990365,0.000990365,0.000990365
84,20704,1.13707,0.93757,1.11423,0.74777,0.85783,0.84837,0.57504,1.11774,0.80091,1.07348,0.000982113,0.000982113,0.000982113
85,20908.4,1.07565,0.87657,1.08969,0.73293,0.8895,0.8611,0.59327,1.11774,0.7652,1.08815,0.000973861,0.000973861,0.000973861
86,21216.8,1.11479,0.88135,1.09663,0.74773,0.8589,0.8579,0.58754,1.11612,0.78013,1.11065,0.00096561,0.00096561,0.00096561
87,21420.7,1.0983,0.87335,1.10064,0.72934,0.90335,0.87225,0.5907,1.11189,0.78659,1.11324,0.000957358,0.000957358,0.000957358
88,21598.2,1.07955,0.86897,1.08304,0.76764,0.8715,0.89106,0.60523,1.12745,0.76118,1.11035,0.000949106,0.000949106,0.000949106
89,21768.3,1.08651,0.86658,1.08297,0.7845,0.84399,0.86115,0.58801,1.12309,0.78457,1.11087,0.000940855,0.000940855,0.000940855
90,22033,1.10806,0.88207,1.1179,0.78017,0.88239,0.8786,0.59987,1.1062,0.77547,1.08273,0.000932603,0.000932603,0.000932603
91,22227.7,1.07765,0.87792,1.08863,0.72669,0.90034,0.83913,0.57282,1.12451,0.77978,1.12349,0.000924352,0.000924352,0.000924352
92,22487.1,1.07705,0.89245,1.10234,0.76738,0.83986,0.84504,0.57016,1.15668,0.83813,1.18835,0.0009161,0.0009161,0.0009161
93,22754.3,1.10282,0.91626,1.10554,0.78353,0.88605,0.88695,0.59443,1.10966,0.77611,1.10155,0.000907848,0.000907848,0.000907848
94,22924.9,1.0919,0.87808,1.08371,0.76742,0.88608,0.88872,0.60537,1.11096,0.76329,1.11327,0.000899597,0.000899597,0.000899597
95,23172.5,1.08422,0.92362,1.11969,0.6946,0.91349,0.8465,0.57454,1.10797,0.87255,1.09159,0.000891345,0.000891345,0.000891345
96,23485.7,1.13419,0.89297,1.09326,0.76551,0.87822,0.8631,0.58418,1.12251,0.78607,1.13044,0.000883093,0.000883093,0.000883093
97,23825.7,1.11827,0.89059,1.11524,0.77661,0.88821,0.88411,0.59388,1.13,0.7557,1.10863,0.000874842,0.000874842,0.000874842
98,24030.9,1.07348,0.86008,1.08148,0.76582,0.88973,0.87544,0.6039,1.08773,0.75347,1.0935,0.00086659,0.00086659,0.00086659
